timestamp,pump1_flow_m3h,pump2_flow_m3h,pump3_flow_m3h
2024-03-01 00:44:30,43.66,40.74,41.7
2024-03-01 00:45:00,40.77,40.93,40.89
2024-03-01 00:45:30,41.39,41.42,43.48
2024-03-01 00:46:00,41.78,41.8,44.46
2024-03-01 00:46:30,42.12,38.83,
2024-03-01 00:47:00,41.13,41.28,43.21
2024-03-01 00:47:30,41.34,40.73,42.86
2024-03-01 00:48:00,44.48,39.96,42.54
2024-03-01 00:48:30,42.44,40.13,42.82
2024-03-01 00:49:00,41.7,39.36,44.48
2024-03-01 00:49:30,42.25,41.57,43.22
2024-03-01 00:50:00,42.65,39.66,45.01
2024-03-01 00:50:30,41.09,38.82,
2024-03-01 00:51:00,39.68,,43.6
2024-03-01 00:51:30,42.07,40.11,43.26
2024-03-01 00:52:00,43.22,41.37,42.5
2024-03-01 00:52:30,40.95,40.23,44.74
2024-03-01 00:53:00,41.68,38.06,40.78
2024-03-01 00:53:30,40.49,41.28,41.99
2024-03-01 00:54:00,40.98,40.61,43.92
2024-03-01 00:54:30,41.15,41.16,40.43
2024-03-01 00:55:00,43.05,40.19,41.66
2024-03-01 00:55:30,42.67,40.88,41.62
2024-03-01 00:56:00,40.35,38.97,40.33
2024-03-01 00:56:30,43.91,41.83,43.44
2024-03-01 00:57:00,41.19,42.62,41.45
2024-03-01 00:57:30,38.68,41.84,43.41
2024-03-01 00:58:00,40.86,38.91,42.96
2024-03-01 00:58:30,43.38,40.37,42.6
2024-03-01 00:59:00,41.68,40.95,43.05
2024-03-01 00:59:30,43.48,40.6,42.38
2024-03-01 01:00:00,43.4,40.64,42.64
2024-03-01 01:00:30,42.6,40.94,43.88
2024-03-01 01:01:00,42.7,41.2,43.67
2024-03-01 01:01:30,42.21,41.08,43.11
2024-03-01 01:02:00,44.38,40.13,44.69
2024-03-01 01:02:30,41.09,40.46,42.63
2024-03-01 01:03:00,44.0,40.88,43.67
2024-03-01 01:03:30,43.43,40.54,44.8
2024-03-01 01:04:00,41.4,43.15,41.46
2024-03-01 01:04:30,42.01,41.13,44.56
2024-03-01 01:05:00,43.3,39.92,41.96
2024-03-01 01:05:30,,41.54,46.58
2024-03-01 01:06:00,41.58,41.94,43.93
2024-03-01 01:06:30,40.98,40.46,44.33
2024-03-01 01:07:00,42.33,39.95,43.06
2024-03-01 01:07:30,41.23,42.22,41.2
2024-03-01 01:08:00,40.92,43.08,43.29
2024-03-01 01:08:30,41.43,42.6,42.88
2024-03-01 01:09:00,40.8,41.52,46.49
2024-03-01 01:09:30,42.88,40.9,43.88
2024-03-01 01:10:00,40.42,41.7,42.42
2024-03-01 01:10:30,42.88,41.93,45.0
2024-03-01 01:11:00,41.49,41.79,44.6
2024-03-01 01:11:30,42.38,41.47,42.77
2024-03-01 01:12:00,43.38,41.3,
2024-03-01 01:12:30,43.32,40.06,40.72
2024-03-01 01:13:00,42.71,41.93,40.39
2024-03-01 01:13:30,41.83,42.99,43.71
2024-03-01 01:14:00,42.48,41.7,43.42
2024-03-01 01:14:30,44.57,42.24,42.96
2024-03-01 01:15:00,43.32,41.61,42.8
2024-03-01 01:15:30,41.65,41.2,41.38
2024-03-01 01:16:00,40.55,41.21,43.9
2024-03-01 01:16:30,42.59,42.88,43.91
2024-03-01 01:17:00,43.85,41.7,43.47
2024-03-01 01:17:30,44.59,41.18,44.76
2024-03-01 01:18:00,,41.66,43.71
2024-03-01 01:18:30,42.74,42.35,42.85
2024-03-01 01:19:00,44.81,42.42,44.51
2024-03-01 01:19:30,43.54,40.46,42.4
2024-03-01 01:20:00,42.72,41.96,47.58
2024-03-01 01:20:30,41.86,42.91,45.15
2024-03-01 01:21:00,45.87,42.44,43.06
2024-03-01 01:21:30,42.23,40.39,44.35
2024-03-01 01:22:00,43.86,41.21,47.68
2024-03-01 01:22:30,43.03,41.29,45.74
2024-03-01 01:23:00,42.82,43.37,44.96
2024-03-01 01:23:30,45.07,41.32,44.85
2024-03-01 01:24:00,42.46,42.38,45.17
2024-03-01 01:24:30,,40.27,43.33
2024-03-01 01:25:00,44.36,41.35,42.75
2024-03-01 01:25:30,42.86,41.11,44.46
2024-03-01 01:26:00,43.93,42.96,44.02
2024-03-01 01:26:30,41.93,41.44,44.64
2024-03-01 01:27:00,43.59,42.21,43.88
2024-03-01 01:27:30,45.71,40.72,44.32
2024-03-01 01:28:00,45.56,42.93,47.48
2024-03-01 01:28:30,42.44,41.41,47.39
2024-03-01 01:29:00,42.92,43.12,44.3
2024-03-01 01:29:30,43.24,42.06,42.44
2024-03-01 01:30:00,45.82,42.71,46.35
2024-03-01 01:30:30,43.83,44.85,45.34
2024-03-01 01:31:00,43.75,42.44,43.94
2024-03-01 01:31:30,42.3,41.47,46.17
2024-03-01 01:32:00,45.4,43.29,43.71
2024-03-01 01:32:30,44.45,42.95,45.34
2024-03-01 01:33:00,44.87,41.55,44.81
2024-03-01 01:33:30,45.54,42.62,42.39
2024-03-01 01:34:00,42.18,43.49,44.67
2024-03-01 01:34:30,43.6,42.92,45.96
2024-03-01 01:35:00,45.72,42.1,40.98
2024-03-01 01:35:30,44.23,41.08,44.27
2024-03-01 01:36:00,43.77,44.3,46.33
2024-03-01 01:36:30,43.46,42.31,44.52
2024-03-01 01:37:00,45.55,42.94,45.66
2024-03-01 01:37:30,42.52,43.36,47.02
2024-03-01 01:38:00,44.12,43.81,46.74
2024-03-01 01:38:30,44.59,43.26,46.56
2024-03-01 01:39:00,42.78,43.27,45.96
2024-03-01 01:39:30,46.09,42.16,43.16
2024-03-01 01:40:00,44.48,42.55,43.69
2024-03-01 01:40:30,45.21,43.34,47.22
2024-03-01 01:41:00,44.67,43.3,46.12
2024-03-01 01:41:30,44.11,44.19,47.7
2024-03-01 01:42:00,46.34,43.04,43.19
2024-03-01 01:42:30,45.17,42.64,46.12
2024-03-01 01:43:00,45.12,42.24,45.88
2024-03-01 01:43:30,43.73,43.33,46.03
2024-03-01 01:44:00,43.32,42.61,48.45
2024-03-01 01:44:30,43.9,42.85,43.0
2024-03-01 01:45:00,44.26,42.7,46.71
2024-03-01 01:45:30,46.84,42.93,
2024-03-01 01:46:00,44.44,43.21,45.62
2024-03-01 01:46:30,44.84,43.15,45.35
2024-03-01 01:47:00,44.69,42.61,44.61
2024-03-01 01:47:30,44.27,43.36,44.77
2024-03-01 01:48:00,44.91,43.69,46.34
2024-03-01 01:48:30,45.85,44.38,43.33
2024-03-01 01:49:00,45.92,41.47,44.77
2024-03-01 01:49:30,42.87,43.13,45.76
2024-03-01 01:50:00,44.87,43.45,46.65
2024-03-01 01:50:30,44.93,44.14,46.45
2024-03-01 01:51:00,45.51,44.25,43.99
2024-03-01 01:51:30,44.21,42.9,44.15
2024-03-01 01:52:00,44.99,42.98,45.44
2024-03-01 01:52:30,45.11,43.01,42.18
2024-03-01 01:53:00,46.53,44.67,46.64
2024-03-01 01:53:30,44.39,43.43,44.78
2024-03-01 01:54:00,44.15,42.31,45.13
2024-03-01 01:54:30,46.41,44.1,48.13
2024-03-01 01:55:00,46.68,43.03,45.54
2024-03-01 01:55:30,44.68,43.32,45.18
2024-03-01 01:56:00,44.13,41.74,43.5
2024-03-01 01:56:30,43.64,42.78,45.24
2024-03-01 01:57:00,48.47,44.57,44.6
2024-03-01 01:57:30,43.57,44.13,48.55
2024-03-01 01:58:00,47.28,45.36,48.34
2024-03-01 01:58:30,44.65,46.07,45.32
2024-03-01 01:59:00,45.27,46.18,45.26
2024-03-01 01:59:30,43.93,43.56,46.79
2024-03-01 02:00:00,46.32,42.64,45.62
2024-03-01 02:00:30,46.07,44.87,47.95
2024-03-01 02:01:00,45.94,44.43,46.0
2024-03-01 02:01:30,45.91,43.23,46.58
2024-03-01 02:02:00,44.91,42.8,48.63
2024-03-01 02:02:30,46.99,43.91,47.4
2024-03-01 02:03:00,45.18,46.31,45.38
2024-03-01 02:03:30,44.02,43.04,45.56
2024-03-01 02:04:00,46.7,44.56,46.54
2024-03-01 02:04:30,47.07,43.69,45.65
2024-03-01 02:05:00,43.97,43.89,46.13
2024-03-01 02:05:30,45.29,44.28,46.49
2024-03-01 02:06:00,44.02,43.88,49.43
2024-03-01 02:06:30,45.14,44.82,46.29
2024-03-01 02:07:00,45.82,42.38,45.84
2024-03-01 02:07:30,46.54,43.69,
2024-03-01 02:08:00,44.65,45.34,47.79
2024-03-01 02:08:30,47.47,45.37,46.77
2024-03-01 02:09:00,45.51,43.07,46.68
2024-03-01 02:09:30,44.18,44.11,47.49
2024-03-01 02:10:00,44.73,46.36,44.32
2024-03-01 02:10:30,43.68,44.32,44.55
2024-03-01 02:11:00,,44.0,46.62
2024-03-01 02:11:30,43.42,44.19,46.01
2024-03-01 02:12:00,45.33,44.03,48.49
2024-03-01 02:12:30,47.26,44.95,47.95
2024-03-01 02:13:00,44.81,43.32,46.76
2024-03-01 02:13:30,44.63,44.79,47.08
2024-03-01 02:14:00,45.66,45.36,47.02
2024-03-01 02:14:30,45.79,46.42,49.91
2024-03-01 02:15:00,45.86,45.09,46.29
2024-03-01 02:15:30,46.89,45.61,46.81
2024-03-01 02:16:00,43.81,43.77,49.09
2024-03-01 02:16:30,45.97,44.56,46.89
2024-03-01 02:17:00,45.58,45.99,45.25
2024-03-01 02:17:30,47.77,45.92,45.99
2024-03-01 02:18:00,46.09,43.06,46.43
2024-03-01 02:18:30,45.05,43.29,47.34
2024-03-01 02:19:00,47.58,47.27,47.37
2024-03-01 02:19:30,44.91,,46.18
2024-03-01 02:20:00,47.58,44.7,47.61
2024-03-01 02:20:30,45.35,45.29,47.21
2024-03-01 02:21:00,46.0,45.29,47.87
2024-03-01 02:21:30,47.09,47.09,47.36
2024-03-01 02:22:00,46.4,43.17,48.26
2024-03-01 02:22:30,46.86,44.46,48.11
2024-03-01 02:23:00,48.11,43.24,
2024-03-01 02:23:30,47.17,45.37,46.8
2024-03-01 02:24:00,47.67,46.18,48.84
2024-03-01 02:24:30,45.15,45.83,46.43
2024-03-01 02:25:00,45.15,45.55,46.81
2024-03-01 02:25:30,47.22,44.86,49.12
2024-03-01 02:26:00,49.34,44.52,47.8
2024-03-01 02:26:30,47.17,45.91,47.15
2024-03-01 02:27:00,47.22,45.66,46.48
2024-03-01 02:27:30,47.27,44.82,48.26
2024-03-01 02:28:00,46.91,45.86,45.37
2024-03-01 02:28:30,46.07,,48.08
2024-03-01 02:29:00,46.43,45.82,46.62
2024-03-01 02:29:30,45.61,43.5,48.26
2024-03-01 02:30:00,47.18,45.15,46.7
2024-03-01 02:30:30,46.43,45.27,47.37
2024-03-01 02:31:00,45.86,44.58,48.37
2024-03-01 02:31:30,47.37,46.04,45.52
2024-03-01 02:32:00,47.13,43.75,50.66
2024-03-01 02:32:30,48.24,45.4,48.72
2024-03-01 02:33:00,45.22,46.1,48.16
2024-03-01 02:33:30,47.36,48.11,46.38
2024-03-01 02:34:00,50.36,46.41,44.66
2024-03-01 02:34:30,45.7,44.83,48.48
2024-03-01 02:35:00,47.29,46.57,
2024-03-01 02:35:30,48.81,45.4,47.17
2024-03-01 02:36:00,46.32,46.07,47.88
2024-03-01 02:36:30,46.59,45.83,45.95
2024-03-01 02:37:00,48.67,46.44,48.29
2024-03-01 02:37:30,46.02,45.61,47.8
2024-03-01 02:38:00,48.45,45.1,49.95
2024-03-01 02:38:30,47.46,45.59,47.39
2024-03-01 02:39:00,45.1,45.55,49.53
2024-03-01 02:39:30,47.37,44.66,47.94
2024-03-01 02:40:00,48.98,45.92,45.89
2024-03-01 02:40:30,47.86,45.13,49.82
2024-03-01 02:41:00,47.38,46.72,48.53
2024-03-01 02:41:30,46.32,44.68,47.32
2024-03-01 02:42:00,47.75,46.16,46.35
2024-03-01 02:42:30,47.85,46.78,50.13
2024-03-01 02:43:00,46.63,45.72,48.97
2024-03-01 02:43:30,46.09,44.99,49.66
2024-03-01 02:44:00,48.05,46.06,48.0
2024-03-01 02:44:30,48.05,47.21,50.17
2024-03-01 02:45:00,47.74,45.78,46.28
2024-03-01 02:45:30,48.39,46.26,47.61
2024-03-01 02:46:00,45.84,47.92,47.69
2024-03-01 02:46:30,49.01,47.44,51.81
2024-03-01 02:47:00,45.5,47.0,50.19
2024-03-01 02:47:30,47.41,45.76,48.05
2024-03-01 02:48:00,49.07,46.7,46.35
2024-03-01 02:48:30,46.92,44.77,46.06
2024-03-01 02:49:00,49.24,45.87,49.54
2024-03-01 02:49:30,50.43,45.78,47.95
2024-03-01 02:50:00,48.2,46.46,48.39
2024-03-01 02:50:30,47.01,45.58,50.91
2024-03-01 02:51:00,45.14,46.94,47.58
2024-03-01 02:51:30,45.74,45.97,48.86
2024-03-01 02:52:00,46.4,48.07,49.56
2024-03-01 02:52:30,47.19,46.31,48.5
2024-03-01 02:53:00,48.06,47.36,49.71
2024-03-01 02:53:30,48.04,45.45,47.55
2024-03-01 02:54:00,47.92,47.07,51.81
2024-03-01 02:54:30,47.46,45.07,
2024-03-01 02:55:00,47.88,47.19,48.71
2024-03-01 02:55:30,50.3,45.73,50.71
2024-03-01 02:56:00,47.36,47.15,47.84
2024-03-01 02:56:30,48.57,47.24,52.14
2024-03-01 02:57:00,49.25,47.92,49.08
2024-03-01 02:57:30,47.75,48.19,47.66
2024-03-01 02:58:00,47.35,47.01,50.48
2024-03-01 02:58:30,47.8,47.48,49.16
2024-03-01 02:59:00,49.6,46.0,49.49
2024-03-01 02:59:30,48.45,47.29,51.31
2024-03-01 03:00:00,49.25,48.41,48.75
2024-03-01 03:00:30,47.77,47.65,50.57
2024-03-01 03:01:00,45.81,47.2,47.65
2024-03-01 03:01:30,48.14,47.5,49.47
2024-03-01 03:02:00,48.29,46.98,48.99
2024-03-01 03:02:30,46.39,46.99,47.27
2024-03-01 03:03:00,47.5,45.6,48.7
2024-03-01 03:03:30,48.35,46.99,48.21
2024-03-01 03:04:00,50.31,45.73,52.44
2024-03-01 03:04:30,48.96,47.73,49.45
2024-03-01 03:05:00,51.53,47.84,49.18
2024-03-01 03:05:30,50.02,49.05,53.34
2024-03-01 03:06:00,49.61,46.85,50.37
2024-03-01 03:06:30,51.56,47.29,48.44
2024-03-01 03:07:00,47.95,49.27,51.32
2024-03-01 03:07:30,50.64,46.62,49.43
2024-03-01 03:08:00,51.25,45.91,49.47
2024-03-01 03:08:30,48.21,,49.76
2024-03-01 03:09:00,49.11,46.27,50.13
2024-03-01 03:09:30,48.43,46.86,49.37
2024-03-01 03:10:00,49.41,48.75,48.49
2024-03-01 03:10:30,49.75,46.4,50.05
2024-03-01 03:11:00,,48.77,49.65
2024-03-01 03:11:30,49.38,47.73,47.79
2024-03-01 03:12:00,48.03,45.15,50.64
2024-03-01 03:12:30,48.44,47.63,49.69
2024-03-01 03:13:00,50.23,45.79,49.1
2024-03-01 03:13:30,48.39,48.06,52.67
2024-03-01 03:14:00,51.05,48.74,46.09
2024-03-01 03:14:30,47.8,47.64,50.79
2024-03-01 03:15:00,50.18,47.9,
2024-03-01 03:15:30,50.14,46.66,47.99
2024-03-01 03:16:00,49.88,48.23,50.68
2024-03-01 03:16:30,49.41,48.66,50.91
2024-03-01 03:17:00,45.57,46.54,51.74
2024-03-01 03:17:30,50.13,48.19,51.74
2024-03-01 03:18:00,49.17,49.6,50.69
2024-03-01 03:18:30,47.31,46.47,50.28
2024-03-01 03:19:00,48.7,48.44,50.89
2024-03-01 03:19:30,50.14,48.41,50.63
2024-03-01 03:20:00,48.48,49.5,49.77
2024-03-01 03:20:30,48.97,47.48,48.63
2024-03-01 03:21:00,49.7,46.4,50.11
2024-03-01 03:21:30,49.52,48.04,53.03
2024-03-01 03:22:00,48.53,49.05,51.28
2024-03-01 03:22:30,49.68,48.35,52.06
2024-03-01 03:23:00,50.4,47.11,49.92
2024-03-01 03:23:30,52.26,47.56,50.86
2024-03-01 03:24:00,49.37,47.29,52.6
2024-03-01 03:24:30,47.81,48.85,50.95
2024-03-01 03:25:00,50.96,47.26,52.95
2024-03-01 03:25:30,49.84,48.28,49.9
2024-03-01 03:26:00,49.87,48.12,50.47
2024-03-01 03:26:30,49.69,46.84,50.02
2024-03-01 03:27:00,50.19,49.53,51.92
2024-03-01 03:27:30,50.7,48.91,54.01
2024-03-01 03:28:00,50.14,46.12,51.14
2024-03-01 03:28:30,50.33,49.81,51.79
2024-03-01 03:29:00,50.13,49.5,50.89
2024-03-01 03:29:30,48.22,46.82,47.05
2024-03-01 03:30:00,50.12,48.94,50.96
2024-03-01 03:30:30,46.33,48.07,50.99
2024-03-01 03:31:00,49.35,48.73,49.95
2024-03-01 03:31:30,48.88,50.25,49.97
2024-03-01 03:32:00,48.77,46.86,48.75
2024-03-01 03:32:30,50.21,50.33,49.24
2024-03-01 03:33:00,50.66,46.87,49.82
2024-03-01 03:33:30,51.51,47.29,51.08
2024-03-01 03:34:00,47.97,48.27,51.44
2024-03-01 03:34:30,51.97,49.55,
2024-03-01 03:35:00,50.01,51.04,51.14
2024-03-01 03:35:30,50.07,47.61,50.05
2024-03-01 03:36:00,51.28,48.32,48.09
2024-03-01 03:36:30,50.3,49.52,51.33
2024-03-01 03:37:00,48.59,48.16,46.9
2024-03-01 03:37:30,50.27,48.35,50.52
2024-03-01 03:38:00,49.03,49.88,54.13
2024-03-01 03:38:30,50.12,46.57,52.22
2024-03-01 03:39:00,51.52,48.41,51.94
2024-03-01 03:39:30,50.0,49.21,52.08
2024-03-01 03:40:00,50.21,47.98,48.2
2024-03-01 03:40:30,49.63,48.13,51.04
2024-03-01 03:41:00,51.24,48.05,51.73
2024-03-01 03:41:30,50.89,47.15,50.52
2024-03-01 03:42:00,47.59,46.78,51.58
2024-03-01 03:42:30,50.63,50.72,50.76
2024-03-01 03:43:00,50.17,49.09,51.45
2024-03-01 03:43:30,51.57,48.27,50.81
2024-03-01 03:44:00,48.47,48.51,50.91
2024-03-01 03:44:30,53.15,48.18,52.24
2024-03-01 03:45:00,52.72,50.83,53.63
2024-03-01 03:45:30,52.6,49.35,53.5
2024-03-01 03:46:00,48.56,47.58,51.06
2024-03-01 03:46:30,49.97,49.22,52.75
2024-03-01 03:47:00,49.68,49.74,51.1
2024-03-01 03:47:30,51.32,48.3,52.52
2024-03-01 03:48:00,50.88,48.18,52.07
2024-03-01 03:48:30,50.77,49.53,50.74
2024-03-01 03:49:00,50.34,48.3,50.01
2024-03-01 03:49:30,52.01,47.7,53.38
2024-03-01 03:50:00,51.38,49.22,52.65
2024-03-01 03:50:30,50.12,,53.15
2024-03-01 03:51:00,52.18,49.65,52.01
2024-03-01 03:51:30,50.66,51.35,50.45
2024-03-01 03:52:00,51.23,48.84,53.1
2024-03-01 03:52:30,52.7,48.98,51.0
2024-03-01 03:53:00,51.01,49.77,52.03
2024-03-01 03:53:30,51.63,49.7,50.5
2024-03-01 03:54:00,50.16,48.46,
2024-03-01 03:54:30,53.61,48.32,52.95
2024-03-01 03:55:00,50.47,48.58,53.22
2024-03-01 03:55:30,53.03,49.0,51.0
2024-03-01 03:56:00,51.5,48.56,50.9
2024-03-01 03:56:30,51.78,51.13,49.54
2024-03-01 03:57:00,49.59,49.71,52.25
2024-03-01 03:57:30,50.24,49.71,48.23
2024-03-01 03:58:00,50.77,49.37,51.77
2024-03-01 03:58:30,53.68,50.27,50.23
2024-03-01 03:59:00,51.04,51.09,55.41
2024-03-01 03:59:30,50.0,50.74,52.59
2024-03-01 04:00:00,48.62,51.05,51.13
2024-03-01 04:00:30,51.89,47.94,52.89
2024-03-01 04:01:00,50.08,48.73,51.77
2024-03-01 04:01:30,51.38,49.83,50.42
2024-03-01 04:02:00,51.62,49.39,52.53
2024-03-01 04:02:30,50.9,47.85,53.96
2024-03-01 04:03:00,51.64,50.21,52.5
2024-03-01 04:03:30,54.08,49.05,53.48
2024-03-01 04:04:00,48.47,49.52,52.67
2024-03-01 04:04:30,52.32,51.26,51.74
2024-03-01 04:05:00,50.97,50.21,49.72
2024-03-01 04:05:30,52.08,51.06,55.42
2024-03-01 04:06:00,51.96,49.85,52.08
2024-03-01 04:06:30,51.09,49.82,53.4
2024-03-01 04:07:00,52.23,48.08,54.09
2024-03-01 04:07:30,54.71,50.44,52.38
2024-03-01 04:08:00,53.25,49.64,53.41
2024-03-01 04:08:30,49.49,49.66,51.36
2024-03-01 04:09:00,50.09,47.26,49.2
2024-03-01 04:09:30,50.87,,54.41
2024-03-01 04:10:00,50.77,49.4,54.25
2024-03-01 04:10:30,52.53,48.51,52.14
2024-03-01 04:11:00,51.0,49.83,54.92
2024-03-01 04:11:30,53.06,48.42,53.51
2024-03-01 04:12:00,53.77,52.21,52.14
2024-03-01 04:12:30,50.89,48.65,50.82
2024-03-01 04:13:00,52.39,49.84,54.39
2024-03-01 04:13:30,50.58,50.2,53.05
2024-03-01 04:14:00,51.6,50.79,53.67
2024-03-01 04:14:30,51.72,49.65,
2024-03-01 04:15:00,51.97,49.3,53.9
2024-03-01 04:15:30,51.95,48.95,50.51
2024-03-01 04:16:00,50.83,50.27,52.14
2024-03-01 04:16:30,50.8,51.17,51.39
2024-03-01 04:17:00,50.45,50.16,51.18
2024-03-01 04:17:30,51.81,50.56,52.8
2024-03-01 04:18:00,53.02,50.69,53.73
2024-03-01 04:18:30,50.49,51.38,56.06
2024-03-01 04:19:00,51.67,49.78,56.26
2024-03-01 04:19:30,51.3,50.89,51.76
2024-03-01 04:20:00,51.82,,53.73
2024-03-01 04:20:30,51.4,50.09,53.8
2024-03-01 04:21:00,53.84,49.09,53.09
2024-03-01 04:21:30,53.36,51.4,52.19
2024-03-01 04:22:00,52.33,49.59,51.99
2024-03-01 04:22:30,51.32,49.74,55.89
2024-03-01 04:23:00,55.03,50.59,51.55
2024-03-01 04:23:30,53.07,51.67,54.37
2024-03-01 04:24:00,50.66,51.2,54.0
2024-03-01 04:24:30,53.52,50.33,54.42
2024-03-01 04:25:00,52.21,50.55,54.01
2024-03-01 04:25:30,50.44,51.21,54.99
2024-03-01 04:26:00,52.4,49.2,53.08
2024-03-01 04:26:30,51.37,51.27,52.09
2024-03-01 04:27:00,54.78,49.64,52.42
2024-03-01 04:27:30,53.21,49.62,53.04
2024-03-01 04:28:00,54.04,50.76,53.46
2024-03-01 04:28:30,53.33,51.17,50.27
2024-03-01 04:29:00,53.69,50.76,54.21
2024-03-01 04:29:30,51.81,49.74,53.13
2024-03-01 04:30:00,52.6,51.38,52.86
2024-03-01 04:30:30,53.3,51.87,55.74
2024-03-01 04:31:00,55.39,51.11,54.05
2024-03-01 04:31:30,53.93,52.09,
2024-03-01 04:32:00,53.42,51.23,53.66
2024-03-01 04:32:30,50.73,52.18,
2024-03-01 04:33:00,53.62,49.48,52.86
2024-03-01 04:33:30,50.22,52.54,53.08
2024-03-01 04:34:00,53.86,52.41,54.01
2024-03-01 04:34:30,53.06,51.46,53.26
2024-03-01 04:35:00,49.33,51.94,50.27
2024-03-01 04:35:30,53.09,50.76,54.21
2024-03-01 04:36:00,52.78,50.54,52.67
2024-03-01 04:36:30,50.99,52.02,54.86
2024-03-01 04:37:00,51.62,51.98,52.57
2024-03-01 04:37:30,53.92,49.6,54.51
2024-03-01 04:38:00,53.4,51.76,53.45
2024-03-01 04:38:30,51.98,51.69,52.92
2024-03-01 04:39:00,53.72,51.16,52.64
2024-03-01 04:39:30,53.94,50.01,53.62
2024-03-01 04:40:00,51.91,50.64,53.08
